Hours,Power (kW),Reactive (kVAr),Demand (kVA),Powerfactor,Consumption (kWh)
236,498,130.9,514.9,0.967,498
237,496.5,133.1,514.1,0.966,496.5
238,485.9,112.2,498.7,0.974,485.9
239,503.5,112.3,515.9,0.976,503.5
240,487.5,111.6,500.1,0.975,488.2
241,498.9,104.9,509.8,0.979,498.9
242,491.1,102.7,501.7,0.979,491.1
243,505.7,117.7,519.2,0.974,505.7
244,501.5,124.7,516.8,0.97,501.5
245,492.8,111.5,505.2,0.975,492.8
246,512.8,121.3,526.9,0.973,512.6
247,577,153.6,597.1,0.966,577
248,575.3,164.1,598.3,0.962,383
